from_stop_id,to_stop_id,transfer_type,min_transfer_time
8021,12235,0,
8021,3053,2,120
8021,3927,2,120
8021,3394,2,120
8021,3204,0,
8021,3769,0,
8021,3533,2,120
8021,3067,2,120
8021,3334,2,120
8021,3904,2,120
8021,7643,2,120
8021,3195,2,120
8021,3906,2,120
8022,3822,2,120
8022,3806,2,120
8022,3385,2,120
8022,3478,2,120
8023,11559,2,120
8023,7650,2,120
8024,7743,2,120
8024,7827,2,120
8024,7658,2,120
8024,7727,2,120
8025,7777,2,120
8025,9667,2,120
8025,7768,2,120
12321,3204,2,120
6730,12207,2,600
6730,12205,2,360
8283,8483,2,360
8283,8484,2,420
8283,6781,2,600
7468,7635,2,120
7468,7591,2,120
7468,6736,2,120
7468,5216,2,120
6734,12207,2,600
6734,12205,2,360
6734,6734,0,
6734,6730,2,360
6727,7635,2,120
6727,7591,2,120
6727,6736,2,120
6727,7469,2,120
6727,5216,2,120
6727,6727,2,120
6727,7468,2,120
8282,6706,2,300
8282,8485,2,360
8282,8283,2,480
11270,11788,0,
11270,11288,0,
11270,11289,0,
11270,11246,0,
11270,11250,0,
11270,11256,0,
11270,11268,0,
11270,11269,0,
11270,11253,0,
11270,11267,2,120
11270,11266,0,
11270,11248,0,
76,8040,2,420
76,12375,2,360
76,8535,2,420
76,9307,0,
76,76,0,
76,9128,2,480
77,11302,2,360
77,11438,2,360
77,10400,2,300
77,11526,0,
77,11616,0,
77,96,0,
77,77,0,
414,2737,2,300
410,1856,2,300
410,410,0,
78,11438,2,360
78,12368,2,420
78,938,2,360
78,35,2,480
78,8035,2,540
78,95,0,
78,78,2,120
78,8019,2,480
1824,2032,0,
1824,2004,0,
1828,1076,0,
1828,1133,0,
669,11623,0,
669,701,0,
669,668,0,
1832,8071,0,
1832,8046,0,
1832,1615,0,
1832,12393,0,
1832,11762,0,
1832,1065,0,
1832,1832,0,
11638,11534,2,360
11638,411,2,300
11638,80,0,
11638,939,2,360
11638,11638,0,
96,8041,2,420
96,11302,2,360
96,11438,2,360
96,12368,2,480
96,11706,2,420
96,10400,2,360
96,4881,2,360
96,11526,0,
96,11616,0,
96,10399,2,360
96,35,2,480
96,12036,2,300
96,96,0,
96,77,0,
96,8019,2,540
96,4495,2,420
9307,12375,2,300
9307,8535,2,420
95,12368,2,420
95,35,2,480
95,8035,2,600
95,95,0,
95,79,0,
95,78,0,
95,8019,2,480
8036,4471,2,120
8036,10867,2,120
8036,4210,2,120
8036,4568,2,120
8036,4459,2,120
8036,4242,2,120
8036,4475,2,120
8038,8039,2,360
8038,11302,2,480
8038,11438,2,480
8038,40,2,480
8038,189,2,600
8038,12368,2,480
8038,9069,2,480
8038,10400,2,480
8038,4881,2,600
8038,938,2,480
8038,971,2,540
8038,10399,2,600
8038,35,2,480
8038,95,2,600
8038,96,2,600
8038,78,2,600
8038,12138,2,480
12213,12213,0,
3825,3064,2,420
7644,12043,2,420
3852,3881,0,
3852,3852,0,
3855,3831,2,360
3856,3898,2,360
3856,3856,0,
3865,9388,0,
3865,3865,0,
3868,3868,0,
3065,3055,2,360
3066,3054,2,360
3869,7742,2,420
3869,3825,2,480
4154,4154,0,
4113,4074,2,300
4067,4474,2,120
4067,4381,2,120
4067,452,2,120
4067,4163,2,120
4067,451,2,120
4067,1775,2,120
4067,4119,2,120
4067,1761,2,120
4067,4143,2,120
4067,10873,2,120
4067,4067,2,120
4077,4077,0,
10873,4474,2,120
10873,4381,2,120
10873,452,2,120
10873,4163,2,120
10873,451,2,120
10873,1775,2,120
10873,4119,2,120
10873,1761,2,120
10873,4143,2,120
10873,4067,2,120
3479,3479,0,
3479,3059,0,
8691,8755,0,
8691,8746,0,
8691,12227,0,
8691,8672,0,
8691,8657,0,
8691,8676,0,
8691,8685,0,
8691,8688,0,
8691,8690,0,
8691,8689,0,
8691,8687,0,
8691,8691,0,
10860,12230,0,
10860,12231,0,
10860,11943,0,
10860,12332,0,
10860,11942,0,
10860,12022,0,
10860,11941,0,
10860,8020,2,120
10860,8033,2,120
10860,12020,0,
10860,11940,0,
3153,3245,2,360
3155,12229,0,
3155,12210,0,
3155,12211,0,
3155,12212,0,
3218,3218,0,
3239,3159,0,
3243,12228,2,300
3243,12229,2,300
3243,12210,2,300
3243,12211,2,300
3243,12212,2,300
3243,3155,2,300
11307,2892,2,300
11307,3151,2,360
12214,12214,0,
9257,9257,0,
3878,3898,2,360
3878,3878,0,
3878,3856,2,360
3878,3855,2,360
8408,7646,2,360
11318,11962,2,540
11318,11114,2,600
3903,9240,2,420
3903,3826,2,420
7742,12165,2,420
7742,3872,2,480
7742,3056,2,420
779,8622,2,480
779,857,0,
779,779,0,
235,8074,0,
235,8043,0,
235,235,0,
778,2120,2,420
778,9052,2,480
778,857,2,420
778,779,2,420
782,10620,0,
782,10619,0,
785,1147,2,360
789,1580,0,
789,1533,0,
793,11022,0,
793,11010,0,
801,2044,0,
801,1992,0,
797,12134,0,
797,650,0,
797,718,0,
12036,8041,2,420
12036,11302,2,420
12036,10400,2,120
12036,4881,2,120
12036,11526,0,
12036,10399,2,120
12036,12036,2,120
12036,8035,2,600
12036,96,2,120
12036,77,0,
12036,4495,2,480
10814,10352,0,
10814,10363,0,
36,36,0,
231,231,0,
11535,8041,2,360
11535,11272,2,480
11535,11438,2,480
11535,12368,2,480
11535,12375,2,600
11535,8535,2,600
11535,11706,0,
11535,4881,2,480
11535,11525,2,360
11535,35,2,480
11535,11535,0,
11535,8035,2,600
11535,95,2,360
11535,96,2,360
11535,78,2,360
11535,4495,2,360
11252,11286,0,
11252,11287,0,
11252,11251,0,
9103,810,0,
9103,2156,2,300
2234,142,2,360
2234,2153,2,300
809,810,2,360
809,2156,2,360
35,8039,2,360
35,11302,2,420
35,40,2,300
35,12368,0,
35,9069,2,300
35,10400,2,600
35,4881,2,600
35,35,0,
35,12036,2,600
35,8035,2,480
35,8019,2,480
10141,9174,0,
10141,3900,0,
10141,10141,0,
3885,3885,0,
3478,3822,0,
3478,3806,0,
3478,3385,0,
3478,8022,2,120
3478,8031,2,120
3480,12074,0,
3480,3057,0,
3480,11108,0,
12043,7644,2,420
3816,3822,0,
3816,3806,0,
3816,3385,0,
3816,3478,0,
3816,8022,2,120
3816,8031,2,120
3816,3779,0,
3890,3843,0,
3842,9365,0,
3842,3842,0,
12165,3064,2,300
12165,3825,2,360
12074,11108,2,300
3068,3068,0,
3069,3069,0,
3847,3847,0,
3064,3825,2,480
11949,11957,0,
11949,11949,0,
9365,3842,0,
3843,3843,0,
9643,9643,0,
3943,9179,0,
3943,3943,0,
3965,9255,0,
12264,9178,0,
12264,3984,0,
3533,12234,0,
3533,12235,0,
3533,3053,0,
3533,3927,0,
3533,3394,0,
3533,3769,0,
3533,3067,0,
3533,8032,2,120
3533,3334,0,
3533,3904,0,
3533,7643,0,
3533,3195,0,
3533,3906,0,
9179,3944,2,300
9179,9179,0,
9179,3943,0,
9311,9255,0,
9339,9338,2,300
9339,9339,0,
9339,9344,2,300
9650,9650,0,
3214,3214,0,
3769,12234,0,
3769,12235,0,
3769,3053,0,
3769,3927,0,
3769,3394,0,
3769,3204,0,
3769,3533,0,
3769,3067,0,
3769,8032,2,120
3769,3334,0,
3769,3904,0,
3769,7643,0,
3769,3195,0,
3784,3975,2,300
3784,10132,2,300
3314,12277,0,
3314,3954,0,
3315,12267,0,
3315,12272,0,
9380,3903,2,480
9240,7644,2,360
9379,3064,2,300
3900,9174,0,
11712,11716,0,
11712,8064,0,
11712,8053,0,
11712,11715,0,
11712,11711,0,
11712,11710,0,
11712,11718,0,
11712,11712,0,
7444,7562,0,
7444,7503,0,
7444,7444,0,
7445,7445,0,
7446,7533,0,
7446,7493,0,
7446,7501,0,
7449,7555,0,
7449,7450,2,120
7450,7489,2,120
7450,7450,2,120
7460,7460,0,
7464,7576,0,
7464,7475,2,360
5216,7635,2,120
5216,7591,2,120
5216,6736,2,120
5216,7469,2,120
5216,5216,2,120
5216,7468,2,120
6738,5218,0,
6738,6738,0,
12205,12205,0,
12205,6734,2,360
12205,6730,2,360
12206,12207,2,360
11719,11715,0,
11719,11710,0,
11719,11718,0,
11719,11719,0,
4143,4474,2,120
4143,4381,2,120
4143,452,2,120
4143,4163,2,120
4143,451,2,120
4143,1775,2,120
4143,4119,2,120
4143,1761,2,120
4143,4143,2,120
4143,10873,2,120
4143,4067,2,120
4071,4116,0,
10631,11278,2,360
10631,11279,2,360
10631,417,0,
10631,486,2,300
11930,11272,2,420
11874,8750,2,300
11874,8759,2,300
11874,11878,2,360
11874,11873,2,300
11874,11875,2,360
11874,11876,2,360
11874,11877,2,360
11874,11874,0,
10619,10619,0,
10619,782,0,
11088,11278,2,300
11088,11279,2,300
11088,417,0,
11088,486,0,
11088,11087,0,
8687,8755,0,
8687,8746,0,
8687,12227,0,
8687,8672,0,
8687,8657,0,
8687,8676,0,
8687,8685,0,
8687,8688,0,
8687,8690,0,
8687,8689,0,
8687,8687,0,
8687,8691,0,
12073,8073,2,360
12073,8044,2,360
12073,8754,0,
12073,8763,2,300
12073,11606,2,300
12073,972,0,
12073,1230,2,360
888,240,0,
888,176,0,
888,9052,0,
217,9136,0,
217,545,0,
217,8640,0,
217,330,0,
217,217,0,
2869,3130,2,120
10034,8747,0,
10034,8756,0,
10034,10971,2,300
10034,9952,2,300
10034,10972,2,120
10034,10034,0,
10021,8679,2,360
10021,8659,2,420
10021,8680,2,360
10017,8683,0,
10017,8697,2,300
8743,9505,2,360
8743,8674,2,360
8743,8673,2,360
8743,8743,0,
911,11095,0,
911,1721,0,
911,1697,0,
689,728,0,
689,690,0,
924,1361,0,
924,1301,0,
857,8622,0,
857,778,2,420
932,932,0,
470,470,0,
4879,584,2,600
4879,542,2,360
4879,405,2,480
915,1092,0,
915,1055,0,
10399,8041,2,360
10399,11706,2,360
10399,10400,0,
10399,4881,0,
10399,10399,0,
10399,12036,2,120
10399,4495,2,480
1013,10694,2,600
1013,10424,2,300
1013,12334,2,300
1013,98,2,540
10882,4228,0,
10882,4018,0,
10882,10879,0,
10882,10882,0,
4263,4263,0,
1761,4474,2,120
1761,4381,2,120
1761,452,2,120
1761,4163,2,120
1761,451,2,120
1761,1775,2,120
1761,4119,2,120
1761,1761,2,120
1761,4143,2,120
1761,10873,2,120
1761,4067,2,120
7478,7478,0,
7478,7461,2,360
7489,7489,2,120
7489,7450,0,
7501,7493,0,
7501,7501,0,
7503,7503,0,
12207,12220,2,360
12207,12207,0,
12207,12206,2,300
12207,6734,2,600
12207,6730,2,600
5242,5218,2,360
5242,6728,0,
5242,6738,0,
7469,7635,2,120
7469,7591,2,120
7469,6736,2,120
7469,5216,2,120
4239,4239,0,
4239,4231,0,
10879,4228,2,300
10879,4018,0,
10879,10879,0,
10879,10882,0,
4045,4045,0,
4015,4055,0,
4015,4015,0,
4016,4054,0,
354,599,2,300
359,358,0,
359,596,0,
359,359,0,
361,318,0,
361,317,2,300
361,9530,0,
361,361,0,
361,674,2,360
675,675,0,
596,596,0,
7429,7495,0,
7493,7533,0,
7493,7493,0,
7493,7446,0,
6339,11364,0,
6339,6339,0,
6173,6340,2,300
6173,5543,2,300
6173,6195,2,300
6173,6357,2,300
6172,6197,2,300
6172,6357,0,
6172,6172,0,
6298,6298,0,
5436,6088,2,360
5436,6340,2,120
5436,6139,2,300
5436,8854,0,
5436,5543,2,360
5436,11704,2,360
5436,6174,0,
5436,6195,2,120
5436,5436,2,120
6335,6362,0,
6297,6261,2,300
6297,6297,0,
6195,6088,0,
6195,6139,2,360
6195,8854,2,360
6195,5543,0,
6195,6174,2,420
6195,6195,0,
5539,5539,0,
5542,6088,2,360
5542,6340,2,360
5542,5542,0,
6728,5218,0,
4107,4080,0,
4107,4107,0,
4107,4168,0,
4138,4123,2,300
4138,4164,2,300
7259,12173,2,300
7259,5352,0,
7259,7214,0,
7259,7166,0,
7259,7207,0,
7259,7095,2,120
7259,7259,2,120
7192,7192,0,
7198,7188,0,
7198,11753,0,
7198,7198,0,
7199,7187,2,360
7086,7172,2,300
7086,7086,0,
7093,7097,0,
7093,7093,0,
8936,7186,0,
8936,7200,0,
8936,8936,0,
8946,7172,2,360
7070,7070,0,
9435,10747,2,360
9435,10748,2,300
5360,5345,0,
5360,7169,2,300
5360,7150,0,
9592,9591,0,
9592,9592,0,
7144,8299,2,360
7145,10629,2,360
7145,7101,0,
5336,5380,0,
5336,8989,2,600
5336,5336,0,
5337,7209,2,360
7095,5352,2,120
7095,7214,0,
7095,7166,0,
7095,7207,0,
7095,7095,0,
7095,7259,2,120
8989,9492,2,480
8989,9020,0,
8989,11232,2,300
8989,8989,0,
10199,6475,0,
10199,9306,2,360
10874,7117,2,300
11807,11801,0,
11807,11798,0,
11807,11809,0,
11807,11810,0,
11807,11799,0,
5274,6060,0,
5274,5275,2,420
5274,5419,0,
5180,9720,2,480
5180,5183,2,420
5180,5180,0,
7125,7123,0,
3428,2738,2,300
3428,429,2,360
3428,942,0,
3428,231,2,300
737,742,0,
737,442,2,600
737,678,0,
3429,81,2,480
3429,3429,0,
971,411,2,360
971,189,0,
971,939,0,
971,971,0,
971,8035,2,600
971,95,2,360
971,79,2,360
971,8019,2,540
3129,3029,0,
3129,1875,0,
503,2739,0,
503,1244,0,
503,503,0,
968,1046,0,
1387,12318,2,300
1387,1482,0,
1387,1709,2,300
1387,963,2,300
1387,1387,0,
1387,2742,2,300
1387,8139,2,300
938,11438,2,360
938,12368,2,300
938,938,0,
938,35,2,300
938,8035,2,480
938,8019,2,480
959,959,0,
962,962,0,
955,678,0,
955,955,0,
955,737,0,
1870,2938,0,
1870,8802,0,
1873,1877,0,
834,2044,0,
834,1992,0,
842,11022,0,
842,11010,0,
847,1580,0,
847,1533,0,
850,1206,2,360
850,1147,2,360
853,10620,2,300
8622,2120,0,
8622,9052,0,
8622,857,2,360
8622,779,2,360
177,238,2,300
178,238,0,
178,9067,0,
179,10352,0,
179,10363,0,
181,8074,0,
181,8043,0,
181,10435,2,300
181,1286,2,480
181,181,0,
181,235,0,
184,1283,2,360
838,12134,0,
838,650,0,
838,718,0,
11251,11286,0,
11251,11287,0,
11251,11251,0,
2153,142,2,360
5593,11860,0,
5593,5701,2,480
5593,6000,0,
5593,5743,0,
5593,5633,0,
5593,5700,0,
5593,11861,2,300
5593,6077,0,
5593,5464,0,
5593,5509,0,
5593,5593,0,
6019,11123,0,
6019,11124,0,
6124,6028,2,300
6124,6053,0,
6124,6124,0,
6039,10701,2,360
6039,6038,2,360
6039,10189,0,
5311,5311,0,
5341,11775,2,300
5341,5365,0,
5341,5376,0,
5342,5364,0,
10188,10188,0,
659,1130,0,
659,709,0,
1218,2035,0,
1218,2000,0,
663,11015,0,
663,11009,0,
665,1198,0,
665,666,0,
1242,2739,2,300
1242,437,2,600
1242,951,0,
1230,8073,0,
1230,8044,0,
1230,8754,2,420
1230,8763,2,480
1230,11606,0,
1230,11588,2,300
1230,12073,2,300
2156,10439,2,300
2156,9103,2,300
2160,7025,0,
2160,1337,2,600
2160,1328,2,600
2160,1329,0,
12066,12064,2,360
330,9136,0,
330,9055,0,
330,217,0,
11588,8073,2,300
11588,8044,2,300
11588,8763,2,360
11588,972,0,
11588,11588,0,
11588,1230,0,
4887,4887,0,
879,879,0,
880,2118,0,
880,9054,0,
886,240,0,
886,176,0,
886,778,2,420
892,1361,0,
892,1301,0,
898,728,0,
898,690,0,
902,1092,0,
902,1055,0,
906,8761,2,420
906,11095,0,
906,1721,0,
906,1697,0,
10018,8683,0,
10018,8697,0,
10023,11450,0,
10023,2590,0,
8742,1782,0,
8742,8742,0,
8673,8751,0,
8673,8760,0,
8673,9505,0,
8673,8674,0,
8673,8673,0,
8673,8743,2,420
10972,8747,0,
10972,8756,0,
10972,10971,2,120
10972,9952,2,120
10972,10972,2,120
10972,10034,2,300
4882,11272,2,420
4882,4882,0,
10620,10619,2,300
10620,782,0,
11542,26,0,
11877,8750,2,360
11877,8759,2,360
11877,11878,2,480
11877,11873,2,360
11877,11875,2,300
11877,11876,0,
11877,11877,0,
11877,11874,2,300
12156,334,0,
11357,11278,2,300
11357,11279,2,300
11357,417,0,
11357,486,0,
11357,11352,0,
56,11016,0,
56,114,0,
59,322,2,300
60,569,2,300
60,11113,0,
62,397,0,
75,48,0,
75,74,0,
75,11427,2,480
75,11542,2,480
30,623,2,600
30,534,2,540
30,193,2,1200
30,11481,0,
30,45,0,
30,11528,2,900
30,30,0,
30,4883,2,480
30,10399,2,540
1856,1856,0,
1856,1483,2,360
1856,410,2,360
31,8077,2,360
31,8040,2,360
31,11272,2,540
31,534,2,300
31,4496,0,
31,11523,2,540
31,10399,2,480
31,11535,2,540
31,984,2,300
31,9128,0,
646,1907,0,
646,647,0,
646,744,2,300
646,301,0,
1276,1510,2,300
1276,122,2,300
63,397,0,
63,1379,0,
63,591,0,
1857,409,0,
1857,8535,2,300
6310,6249,2,300
6310,6310,0,
5547,6321,2,360
5547,5432,2,300
5547,5547,0,
10856,11757,2,300
10856,10856,0,
6135,6135,0,
5434,5545,0,
5435,5435,0,
11583,11583,0,
1244,2739,2,300
1254,1130,0,
1254,709,0,
8913,8754,2,360
8913,8763,2,360
704,1198,0,
704,666,0,
706,11015,0,
706,11009,0,
1258,2035,0,
1258,2000,0,
1266,1846,0,
1266,2225,0,
972,8073,2,300
972,8044,2,300
972,11606,0,
972,11588,2,300
972,12073,2,300
2225,1211,0,
2225,2162,2,360
2227,7025,0,
2227,1337,2,480
2227,1328,2,480
2227,1329,0,
2231,827,2,360
810,10439,2,300
810,9103,2,300
11606,8073,2,300
11606,8044,2,300
11606,8754,2,300
11606,8763,2,300
11606,972,0,
11606,1230,2,300
12355,12175,2,360
12355,10432,2,360
12355,12056,2,300
12355,12057,0,
12355,12340,2,300
12355,12290,2,360
12355,12289,2,300
12355,12085,2,300
12355,12178,2,360
9052,240,0,
9052,176,0,
9052,8622,0,
9052,888,0,
9052,778,2,480
8640,9136,0,
8640,545,0,
8640,217,0,
11113,110,0,
11113,60,0,
1018,869,0,
1018,9551,0,
1018,767,0,
1018,1018,0,
1027,1120,2,360
1027,1027,0,
1031,292,0,
1031,386,0,
1039,1596,0,
1039,1514,0,
1042,11023,0,
1042,11013,0,
1045,565,0,
1045,11422,0,
329,9080,0,
1055,902,0,
1055,915,0,
1061,1570,0,
1061,1544,0,
8907,8753,0,
8907,8762,0,
1065,8071,0,
1065,8046,0,
1065,1615,0,
1065,12393,0,
1065,11762,0,
1065,1065,0,
1065,1832,2,120
11423,11454,2,300
11426,12348,2,300
11429,25,0,
11429,26,2,360
11429,98,2,540
11523,11272,2,300
11523,11706,2,300
11523,11523,0,
11523,4495,2,300
11525,8041,2,360
11525,11525,0,
11525,11535,2,360
11616,11438,2,360
11616,96,0,
11616,77,0,
1086,1570,0,
1086,1544,0,
1092,902,0,
1092,915,0,
1101,959,2,300
545,9136,0,
545,9055,0,
545,545,0,
545,8640,0,
545,330,0,
545,217,0,
1105,11023,0,
1105,11013,0,
1108,1596,0,
1108,1514,0,
1116,292,0,
1116,386,0,
185,1283,2,360
185,524,2,360
185,231,2,300
11427,25,0,
11427,26,2,360
11526,12375,2,540
11526,8535,2,540
11526,11706,2,120
11526,10400,0,
11526,11526,0,
11526,11616,0,
11526,96,0,
11526,77,0,
11524,8041,2,360
11524,11272,2,300
11524,44,2,600
11524,11706,0,
11524,11524,0,
11524,4495,2,300
1091,8753,2,300
1091,8762,2,300
1070,1156,0,
1070,1071,0,
1071,1156,0,
1071,1071,0,
1071,1070,0,
4881,8041,2,420
4881,12375,2,480
4881,8535,2,480
4881,11706,2,420
4881,10400,2,60
4881,4881,2,120
4881,10399,2,120
4881,12036,2,120
4881,4495,2,480
4881,9128,2,480
10400,10400,0,
10400,4881,2,60
10400,10399,2,60
10400,12036,0,
10400,96,2,360
678,678,0,
678,955,2,300
4496,44,0,
4463,11639,2,360
4463,11645,0,
4463,4463,0,
4468,11708,2,360
4456,11367,0,
4456,4456,0,
4500,4329,0,
4505,4516,0,
4505,4505,0,
4191,4301,0,
4191,4243,0,
4191,4191,0,
4224,4830,0,
4224,4061,0,
4224,4224,0,
4504,4517,0,
4504,4504,0,
1959,404,0,
591,397,0,
591,1379,0,
591,591,0,
591,63,0,
12178,11794,2,600
12178,12175,2,300
12178,10432,2,300
12178,12056,2,420
12178,12057,2,420
12178,12340,2,480
12178,12290,2,480
12178,12289,2,480
12178,11793,2,600
12178,11792,2,600
12178,12085,2,420
12178,12178,0,
9069,11302,2,300
9069,35,2,300
9069,8035,2,480
9069,8019,2,480
8535,12375,0,
8535,8535,0,
2118,881,2,300
2118,933,0,
8916,8073,2,360
8916,8044,2,360
8916,8754,2,300
8916,8763,2,300
8916,8913,2,300
8916,11588,0,
8916,1230,0,
322,110,0,
322,322,0,
322,60,0,
9051,1361,0,
9051,1301,0,
9530,318,0,
9530,317,2,300
9530,361,2,360
9530,674,0,
2120,240,0,
2120,176,0,
2120,8622,0,
2120,778,2,420
9055,9136,0,
9055,330,0,
9055,217,0,
11454,1102,2,300
9608,9608,0,
55,55,0,
98,48,2,300
110,569,0,
110,322,0,
110,11113,0,
114,11016,0,
114,114,0,
114,56,0,
1379,397,0,
1379,591,2,300
108,591,0,
12375,12375,0,
113,11016,0,
113,114,0,
122,1510,2,300
122,122,0,
122,1276,2,300
296,132,0,
297,297,0,
297,381,0,
12368,8039,2,360
12368,11302,2,420
12368,40,0,
12368,9069,2,300
12368,10400,2,540
12368,4881,2,600
12368,35,0,
12368,12036,2,540
12368,8035,2,480
12368,8019,2,480
169,1583,0,
169,1530,0,
151,2047,0,
151,1988,0,
155,11632,0,
155,255,0,
165,11020,0,
165,11500,0,
176,2120,0,
176,9052,0,
176,886,0,
176,888,0,
248,1583,0,
248,1530,0,
251,11020,0,
251,11500,0,
256,11632,0,
256,255,0,
10812,2047,0,
10812,1988,0,
267,2153,2,480
267,2234,2,480
240,2120,0,
240,9052,0,
240,886,0,
240,888,0,
437,437,0,
448,450,2,300
11527,11438,0,
351,603,0,
351,351,0,
11792,10448,2,360
11792,12056,2,360
11792,12057,2,420
11792,12340,2,420
11792,12290,2,360
11792,12289,2,360
11792,12178,2,600
357,357,0,
358,358,0,
358,596,0,
358,359,0,
397,1379,0,
397,63,0,
405,2081,0,
405,584,0,
405,405,0,
405,4887,2,480
405,4879,2,480
407,4887,2,360
497,676,2,300
497,497,0,
497,442,2,300
497,955,2,600
512,1244,2,600
542,4887,0,
584,584,0,
584,405,0,
584,4887,2,480
585,11473,2,300
585,585,0,
604,10481,0,
10976,230,2,300
696,2738,2,360
696,1283,0,
696,524,0,
696,942,2,360
696,232,2,300
91,21,0,
93,81,2,420
276,607,2,360
81,81,2,180
80,81,2,360
613,11915,2,360
613,613,0,
616,1487,2,480
638,11915,2,300
639,639,0,
11481,11481,0,
10591,8075,2,360
10591,8042,2,360
10591,11938,2,360
10591,2737,2,480
10591,11534,2,300
10591,411,2,480
10591,10591,2,180
10591,80,2,360
10591,81,2,300
10591,11638,2,420
10591,10670,2,480
74,98,0,
74,11563,2,300
74,75,0,
11,11427,2,300
11,11542,0,
11311,11274,2,420
11311,11275,2,420
11311,11337,2,300
11311,10468,2,300
